title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Scarygirl,movie,"Adventure, Animation, Fantasy",2023,tt4556264,5.3,598,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Escape from Pretoria",movie,"Action, Biography, Crime",2020,tt5797184,6.8,45577,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"She Came to Me",movie,"Comedy, Drama, Music",2023,tt6689014,6,7424,"BA, BG, CZ, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
"Second Act",movie,"Comedy, Drama, Romance",2018,tt2126357,5.8,31048,"DK, FI, NO, SE"
"Si saben cómo me pongo ¿pa' qué me invitan?",movie,Comedy,2018,tt7940122,4.5,256,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Rosa & Dara a jejich dobrodruzství",movie,Animation,2015,tt6419668,,,"CZ, SK"
"The Mule",movie,"Crime, Drama, Thriller",2018,tt7959026,7,157496,"BE, FR, MC"
"I Want to Eat Your Pancreas",movie,"Animation, Drama, Family",2018,tt7236034,8.1,27446,"ID, MY, SG"
"Motherless Brooklyn",movie,"Crime, Drama, Mystery",2019,tt0385887,6.8,64025,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
Rocketman,movie,"Biography, Drama, Music",2019,tt2066051,7.3,200395,"DK, FI, NO, SE"
"Lego DC Comics Super Heroes: The Flash",movie,"Action, Animation, Sci-Fi",2018,tt7877382,6.3,2076,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Empowered,movie,Comedy,2018,tt6981702,5.7,2661,"AD, ES"
"Death on the Nile",movie,"Crime, Drama, Mystery",2022,tt7657566,6.3,196425,"DK, FI, NO, SE"
Riot,movie,"Drama, History, Romance",2018,tt7328908,6.8,718,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Bent,movie,"Action, Crime, Drama",2018,tt2237324,5.2,6542,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Prospect,movie,"Adventure, Drama, Sci-Fi",2018,tt7946422,6.3,36149,"DK, FI, NO, SE"
"Comic Sans",movie,"Comedy, Drama, Romance",2018,tt7640198,6.9,1292,"BA, BG, HR, ME, MK, RS, SI"
O.G.,movie,Drama,2018,tt7897102,6.2,2987,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TT, US, UY, VE"
Nekrotronic,movie,"Action, Comedy, Drama",2018,tt7453418,5.6,3974,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Climax,movie,"Drama, Horror, Music",2018,tt8359848,6.9,83216,"PL, US"
"Five Nights at Freddy's",movie,"Horror, Mystery, Thriller",2023,tt4589218,5.4,107342,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Dead Shot",movie,"Action, Thriller",2023,tt8019518,5.5,3002,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
